Governo,Ministro,nome,cognome,gender,legislatura
II Governo Berlusconi,Ministro delle Comunicazioni,MAURIZIO,GASPARRI,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per i Rapporti con il Parlamento,CARLO AMEDEO,GIOVANARDI,male,legislatura 14
II Governo Berlusconi,"Ministro del Lavoro, della salute e delle politiche sociali",ROBERTO ERNESTO,MARONI,male,legislatura 14
II Governo Berlusconi,Ministro del Lavoro e delle politiche sociali,ROBERTO ERNESTO,MARONI,male,legislatura 14
II Governo Amato,Ministro delle Politiche agricole e forestali,ALFONSO,PECORARO SCANIO,male,legislatura 13
II Governo Berlusconi,Ministro delle Politiche agricole e forestali,GIOVANNI,ALEMANNO,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per la Funzione pubblica,MARIO,BACCINI,male,legislatura 14
II Governo Berlusconi,Ministro dell'economia e delle finanze,SILVIO,BERLUSCONI,male,legislatura 14
II Governo Berlusconi,Ministro degli Affari esteri,SILVIO,BERLUSCONI,male,legislatura 14
I Governo Prodi,Ministro della Sanità,ROSARIA,BINDI,female,legislatura 13
I Governo D'Alema,Ministro della Sanità,ROSARIA,BINDI,female,legislatura 13
II Governo D'Alema,Ministro della Sanità,ROSARIA,BINDI,female,legislatura 13
II Governo Berlusconi,Ministro senza portafoglio per le Politiche comunitarie,ROCCO,BUTTIGLIONE,male,legislatura 14
II Governo Amato,Ministro delle Finanze,OTTAVIANO,DEL TURCO,male,legislatura 13
I Governo D'Alema,Ministro della Giustizia,OLIVIERO,DILIBERTO,male,legislatura 13
I Governo D'Alema,Ministro di Grazia e giustizia,OLIVIERO,DILIBERTO,male,legislatura 13
II Governo D'Alema,Ministro della Giustizia,OLIVIERO,DILIBERTO,male,legislatura 13
I Governo D'Alema,Ministro del Commercio con l'estero,PIERO FRANCO,FASSINO,male,legislatura 13
II Governo D'Alema,Ministro del Commercio con l'estero,PIERO FRANCO,FASSINO,male,legislatura 13
II Governo Amato,Ministro della Giustizia,PIERO FRANCO,FASSINO,male,legislatura 13
I Governo D'Alema,Ministro dell'Interno,ROSA,JERVOLINO RUSSO,female,legislatura 13
II Governo Berlusconi,Ministro della Difesa,ANTONIO,MARTINO,male,legislatura 14
II Governo Berlusconi,Vice Ministro ai Beni e alle attività culturali,ANTONIO,MARTUSCIELLO,male,legislatura 14
I Governo D'Alema,Ministro dei Beni e delle attività culturali,GIOVANNA,MELANDRI,female,legislatura 13
II Governo D'Alema,Ministro dei Beni e delle attività culturali,GIOVANNA,MELANDRI,female,legislatura 13
II Governo Amato,Ministro dei Beni e delle attività culturali,GIOVANNA,MELANDRI,female,legislatura 13
II Governo Berlusconi,Vice Ministro dell'Economia e delle finanze,GIOVANNI,MICCICHE',male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per le Pari opportunità,STEFANIA,PRESTIGIACOMO,female,legislatura 14
II Governo Berlusconi,Ministro dell'Economia e delle finanze,GIULIO CARLO DANILO,TREMONTI,male,legislatura 14
II Governo Berlusconi,Ministro per i Beni e le attività culturali,GIULIANO,URBANI,male,legislatura 14
II Governo Berlusconi,Vice Ministro delle Attività produttive,ADOLFO,URSO,male,legislatura 14
II Governo D'Alema,Ministro senza Portafoglio per le Politiche comunitarie,PATRIZIA,TOIA,female,legislatura 13
II Governo Amato,Ministro senza portafoglio per i Rapporti con il Parlamento,PATRIZIA,TOIA,female,legislatura 13
I Governo Prodi,Ministro dell'Interno,GIORGIO,NAPOLITANO,male,legislatura 13
II Governo Berlusconi,Ministro dell'Interno,GIUSEPPE,PISANU,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per l'Attuazione del programma di governo,GIUSEPPE,PISANU,male,legislatura 14
II Governo Berlusconi,Ministro degli Affari esteri,FRANCO,FRATTINI,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per la Funzione pubblica,FRANCO,FRATTINI,male,legislatura 14
II Governo Berlusconi,Ministro dell'Interno,CLAUDIO,SCAJOLA,male,legislatura 14
II Governo Berlusconi,Ministro senza portafoglio per l'Attuazione del programma di governo,CLAUDIO,SCAJOLA,male,legislatura 14
I Governo Prodi,Ministro dei Trasporti e della navigazione,CLAUDIO,BURLANDO,male,legislatura 13
II Governo Amato,Ministro dei Lavori pubblici,NERIO,NESI,male,legislatura 13
I Governo Prodi,Ministro del Lavoro e della previdenza sociale,TIZIANO,TREU,male,legislatura 13
I Governo D'Alema,Ministro dei Trasporti e della navigazione,TIZIANO,TREU,male,legislatura 13
I Governo Prodi,Ministro degli Affari esteri,LAMBERTO,DINI,male,legislatura 13
I Governo D'Alema,Ministro degli Affari esteri,LAMBERTO,DINI,male,legislatura 13
II Governo D'Alema,Ministro degli Affari esteri,LAMBERTO,DINI,male,legislatura 13
II Governo Amato,Ministro degli Affari esteri,LAMBERTO,DINI,male,legislatura 13
I Governo Prodi,Ministro delle Poste e telecomunicazioni,ANTONIO,MACCANICO,male,legislatura 13
