persona,gender,legislatura,graduated
Alfredo_Baldani_Guerra,male,legislatura04,no
Alfredo_Baldani_Guerra,male,legislatura05,no
Anelito_Barontini,male,legislatura costituente,no
Anelito_Barontini,male,legislatura01,no
Anelito_Barontini,male,legislatura02,no
Anelito_Barontini,male,legislatura03,no
Francesco_Colucci,male,legislatura06,no
Francesco_Colucci,male,legislatura07,no
Francesco_Colucci,male,legislatura08,no
Francesco_Colucci,male,legislatura09,no
Francesco_Colucci,male,legislatura10,no
Francesco_Colucci,male,legislatura11,no
Francesco_Colucci,male,legislatura14,no
Francesco_Colucci,male,legislatura15,no
Francesco_Colucci,male,legislatura16,no
Mario_Bettoli,male,legislatura02,no
Mario_Bettoli,male,legislatura03,no
Uberto_Bonino,male,legislatura costituente,no
Uberto_Bonino,male,legislatura01,no
Uberto_Bonino,male,legislatura02,no
Uberto_Bonino,male,legislatura03,no
Domenico_Borraccino,male,legislatura05,no
Luigi_Matrone,male,legislatura07,no
Luigi_Matrone,male,legislatura08,no
Silvio_Miana,male,legislatura07,no
Vito_Miceli,male,legislatura07,no
Vito_Miceli,male,legislatura08,no
Vito_Miceli,male,legislatura09,no
Giovanni_Migliorini,male,legislatura07,no
Giovanni_Migliorini,male,legislatura08,no
Armelino_Milani,male,legislatura07,no
Ruggero_Millet,male,legislatura07,no
Giorgio_Mondino,male,legislatura07,no
Giorgio_Mondino,male,legislatura08,no
Saverio_Monteleone,male,legislatura07,no
Saverio_Monteleone,male,legislatura08,no
Renzo_Moschini,male,legislatura07,no
Renzo_Moschini,male,legislatura08,no
Renzo_Moschini,male,legislatura09,no
Claudio_Napoleoni,male,legislatura07,no
Umberto_Chiacchio,male,legislatura06,no
Mauro_Olivi,male,legislatura07,no
Mauro_Olivi,male,legislatura08,no
Mauro_Olivi,male,legislatura09,no
Giuseppe_Orlando,male,legislatura07,no
Francesco_Ottaviano,male,legislatura07,no
Francesco_Ottaviano,male,legislatura08,no
Domenico_Petrella,male,legislatura07,no
